sid	song_name	artist_name	full_name	en_id
824	Carey Bell & Tough Luck	One Day	Carey Bell & Tough Luck - One Day	music://id.echonest.com/~/TR/TRQXNFT121E4C4E715
825	Carl Martin	Let's Have A New Deal	Carl Martin - Let's Have A New Deal	music://id.echonest.com/~/TR/TRNRHBN121E4EF277E
826	Cat Power	Lord, Help The Poor & Needy	Cat Power - Lord, Help The Poor & Needy	music://id.echonest.com/~/TR/TRTXHRH121E4CFF345
827	Charley Patton	34 Blues	Charley Patton - 34 Blues	music://id.echonest.com/~/TR/TRKIYWX121E539A1F2
828	Charley Patton	Hammer Blues	Charley Patton - Hammer Blues	music://id.echonest.com/~/TR/TRDHPPU121E539A1F3
829	Charley Patton	Magnolia Blues	Charley Patton - Magnolia Blues	music://id.echonest.com/~/TR/TRKFOSP121E53B72C1
830	Charley Patton	Revenue Man Blues	Charley Patton - Revenue Man Blues	music://id.echonest.com/~/TR/TRCTXAL121E53B72C2
831	Corey Harris	Don't Let The Devil Ride	Corey Harris - Don't Let The Devil Ride	music://id.echonest.com/~/TR/TRIRWWR121E617500B
832	Dave Van Ronk	Did You Hear John Hurt? (Live)	Dave Van Ronk - Did You Hear John Hurt? (Live)	music://id.echonest.com/~/TR/TRFEMBO121E828808A
833	Dave Van Ronk	Motherless Child	Dave Van Ronk - Motherless Child	music://id.echonest.com/~/TR/TRVRLSJ121E82A45A9
834	Dave Van Ronk	Sunday Street	Dave Van Ronk - Sunday Street	music://id.echonest.com/~/TR/TRIQTQJ121E82A45AA
835	Doctor Ross	Tailor Made	Doctor Ross - Tailor Made	music://id.echonest.com/~/TR/TRWODOC121E9B8DCC9
836	Doyle Bramhall	I'm In The Mood	Doyle Bramhall - I'm In The Mood	music://id.echonest.com/~/TR/TRVIXRR121EA63D259
837	Duster Bennett	San Francisco Bay Blues	Duster Bennett - San Francisco Bay Blues	music://id.echonest.com/~/TR/TRPUHWS121EAA52CD2
838	Duster Bennett	Talk To Me (Live)	Duster Bennett - Talk To Me (Live)	music://id.echonest.com/~/TR/TRHMQLC121EA981162
839	Elmore James	Cry For Me Baby	Elmore James - Cry For Me Baby	music://id.echonest.com/~/TR/TRUXJIC121EB44B8A1
840	Eric Clapton & Duane Allman	Mean Old World	Eric Clapton & Duane Allman - Mean Old World	music://id.echonest.com/~/TR/TRZFBXM121EBEECF8C
841	Etta James	Money (That's What I Want) (live)	Etta James - Money (That's What I Want) (live)	music://id.echonest.com/~/TR/TRMHLKD121EBEECF9B
842	Frank Stokes	Bedtime Blues	Frank Stokes - Bedtime Blues	music://id.echonest.com/~/TR/TROEJXA121ECC4923B
843	Frank Stokes	Frank Stoke's Dream	Frank Stokes - Frank Stoke's Dream	music://id.echonest.com/~/TR/TRWGOLS121ECC4923C
844	Frank Stokes	Right Now Blues	Frank Stokes - Right Now Blues	music://id.echonest.com/~/TR/TRAEFPQ121ECC4308E
845	Fred McDowell	Write Me A Few Of Your Lines	Fred McDowell - Write Me A Few Of Your Lines	music://id.echonest.com/~/TR/TRHONYH121EC8F2A6B
846	Furry Lewis	Furry's Rag (Take Your Time, Baby)	Furry Lewis - Furry's Rag (Take Your Time, Baby)	music://id.echonest.com/~/TR/TRLSVRU121ECED0D7E
847	Furry Lewis	Goin' To Kansas City	Furry Lewis - Goin' To Kansas City	music://id.echonest.com/~/TR/TRZEJCL121EC80C6EE
848	Furry Lewis	Long Tall Gal Blues	Furry Lewis - Long Tall Gal Blues	music://id.echonest.com/~/TR/TRXBNZU121EC8F2A75
849	Furry Lewis	Mistreatin' Mama	Furry Lewis - Mistreatin' Mama	music://id.echonest.com/~/TR/TRYWGKV121ECC43098
850	Furry Lewis	This Time Tomorrow	Furry Lewis - This Time Tomorrow	music://id.echonest.com/~/TR/TRCQIZJ121ECC43099
851	Furry Lewis	Why Don't You Come Home Blues	Furry Lewis - Why Don't You Come Home Blues	music://id.echonest.com/~/TR/TRNJJHW121EC18412A
852	Guy Davis	Lay Down By My Side	Guy Davis - Lay Down By My Side	music://id.echonest.com/~/TR/TRUMRGP121EDDA53D4
853	Guy Davis	Tell Me Where the Road Is	Guy Davis - Tell Me Where the Road Is	music://id.echonest.com/~/TR/TRGVRZB121EE84D03A
854	Honeyboy Edwards	Roll & Tumble Blues	Honeyboy Edwards - Roll & Tumble Blues	music://id.echonest.com/~/TR/TRWULWU121EF605F44
855	Howlin' Wolf	Worried Abut My Baby (Rehearsal Take)	Howlin' Wolf - Worried Abut My Baby (Rehearsal Take)	music://id.echonest.com/~/TR/TRIZWOG121EFA324FC
856	Jessie Mae Hamphill	Lord Help The Poor And Needy	Jessie Mae Hamphill - Lord Help The Poor And Needy	music://id.echonest.com/~/TR/TRLXGXP121F11191AB
857	Jessie Mae Hemphill	Go Back To Your Used To Be	Jessie Mae Hemphill - Go Back To Your Used To Be	music://id.echonest.com/~/TR/TRMHCER121F11191AC
858	John "Spider John" Koerner	Good Luck Child	John "Spider John" Koerner - Good Luck Child	music://id.echonest.com/~/TR/TRCJGJZ121F1C374C1
859	John Lee Hooker	Baby, Please Don't Go (Live)	John Lee Hooker - Baby, Please Don't Go (Live)	music://id.echonest.com/~/TR/TRVKFXU121F153F9D9
860	John Lee Hooker	Boogie Chillen	John Lee Hooker - Boogie Chillen	music://id.echonest.com/~/TR/TRTSONN121D21D4886
861	John Lee Hooker	Crawlin' Kingsnake	John Lee Hooker - Crawlin' Kingsnake	music://id.echonest.com/~/TR/TRZMOHO121F1BA7043
862	John Lee Hooker	Dark Room	John Lee Hooker - Dark Room	music://id.echonest.com/~/TR/TRZQRBD121F1BA7044
863	John Lee Hooker	Feel Good (Live)	John Lee Hooker - Feel Good (Live)	music://id.echonest.com/~/TR/TRDWOFK121F153F9DC
864	John Lee Hooker	Sally Mae	John Lee Hooker - Sally Mae	music://id.echonest.com/~/TR/TRXMPEW121F1EA80E7
865	Johnny Shines	Tennessee Woman Blues	Johnny Shines - Tennessee Woman Blues	music://id.echonest.com/~/TR/TRLXHTA121F28EFE34
866	Josh White	Uncle Sam Says	Josh White - Uncle Sam Says	music://id.echonest.com/~/TR/TRQXJQI121F26133A8
867	Kokomo Arnold	Milk Cow Blues	Kokomo Arnold - Milk Cow Blues	music://id.echonest.com/~/TR/TRKIAFR121F40DC27E
868	Lazy Lester	My Home Is A Prison	Lazy Lester - My Home Is A Prison	music://id.echonest.com/~/TR/TRVXIRY121F4432689
869	Lazy Lester	Nothing But The Devil	Lazy Lester - Nothing But The Devil	music://id.echonest.com/~/TR/TRIISJZ121F462B49E
870	Lead Belly & Woody Guthrie	Vigilante Man	Lead Belly & Woody Guthrie - Vigilante Man	music://id.echonest.com/~/TR/TRSZEXU121F49F34DA
871	Leadbelly	Angola Blues (So Doggone Soon)	Leadbelly - Angola Blues (So Doggone Soon)	music://id.echonest.com/~/TR/TRHWVKP121F48B2423
872	Leadbelly	De Kalb Blues	Leadbelly - De Kalb Blues	music://id.echonest.com/~/TR/TRDAMQX121F48B2424
873	Leadbelly	Governor Pat Neff	Leadbelly - Governor Pat Neff	music://id.echonest.com/~/TR/TRLAZLI121D39054D2
874	Leadbelly	Keep Your Hands Off Her	Leadbelly - Keep Your Hands Off Her	music://id.echonest.com/~/TR/TRKYJMI121F49F34DB
875	Leadbelly	Pigmeat	Leadbelly - Pigmeat	music://id.echonest.com/~/TR/TRLTLUP121F43EBD97
876	Leadbelly	Worried Blues	Leadbelly - Worried Blues	music://id.echonest.com/~/TR/TRFSUQI121F49F34DD
877	Leon Redbone	Big Bad Bill (Is Sweet William Now)	Leon Redbone - Big Bad Bill (Is Sweet William Now)	music://id.echonest.com/~/TR/TRPPEUI121D67EBA51
878	Leon Redbone	Diddy Wa Diddie	Leon Redbone - Diddy Wa Diddie	music://id.echonest.com/~/TR/TRBMGTW121F5099F0B
879	Leon Redbone	Mississippi Delta Blues	Leon Redbone - Mississippi Delta Blues	music://id.echonest.com/~/TR/TRHCJOF121F5099F0C
880	Leroy Carr	My Woman's Gone Wrong	Leroy Carr - My Woman's Gone Wrong	music://id.echonest.com/~/TR/TRQMDHL121F4ED4D10
881	Leroy Carr	Sloppy Drunk Blues	Leroy Carr - Sloppy Drunk Blues	music://id.echonest.com/~/TR/TRNXFYC121F4EF25BD
882	Lightnin' Hopkins	Blues In The Bottle	Lightnin' Hopkins - Blues In The Bottle	music://id.echonest.com/~/TR/TRCMNJG121F5335AA2
883	Lightnin' Hopkins	Buddy Brown's Blues (98 Degree Blues)	Lightnin' Hopkins - Buddy Brown's Blues (98 Degree Blues)	music://id.echonest.com/~/TR/TRKXIJZ121F50F1D51
884	Lightnin' Hopkins	Chicken Mary	Lightnin' Hopkins - Chicken Mary	music://id.echonest.com/~/TR/TRTSUQG121F50F1D52
885	Lightnin' Hopkins	Gonna Move Off This Street	Lightnin' Hopkins - Gonna Move Off This Street	music://id.echonest.com/~/TR/TRTMCUD121D2074B95
886	Lightnin' Hopkins	Jailhouse Blues	Lightnin' Hopkins - Jailhouse Blues	music://id.echonest.com/~/TR/TRDEIVB121F4CBABBF
887	Lightnin' Hopkins	Morning Blues	Lightnin' Hopkins - Morning Blues	music://id.echonest.com/~/TR/TRGIHAR121F4CBABC0
888	Lightnin' Hopkins	My Baby Laid Out All Night	Lightnin' Hopkins - My Baby Laid Out All Night	music://id.echonest.com/~/TR/TRVZVCV121F509A301
889	Lightnin' Hopkins	Take A Walk	Lightnin' Hopkins - Take A Walk	music://id.echonest.com/~/TR/TRAVVJA121F509A303
890	Lightnin' Hopkins	Where Can I Find My Baby? (Live)	Lightnin' Hopkins - Where Can I Find My Baby? (Live)	music://id.echonest.com/~/TR/TRDUWSZ121F509A304
891	Lightnin' Hopkins	You're Gonna Miss Me	Lightnin' Hopkins - You're Gonna Miss Me	music://id.echonest.com/~/TR/TRNFTMX121F536B9EB
894	Madeleine Peyroux	Hey Sweet Man	Madeleine Peyroux - Hey Sweet Man	music://id.echonest.com/~/TR/TRQIGKT121D4589A4D
895	Magic Slim & The Teardrops	Magic Boogie	Magic Slim & The Teardrops - Magic Boogie	d1209e310bb331bec836ffd59344c096
896	McHouston Baker	Terraplane Blues	McHouston Baker - Terraplane Blues	music://id.echonest.com/~/TR/TRZEGRC121F307240D
897	McKinley Peebles	Tell Me Why You Like Roosevelt	McKinley Peebles - Tell Me Why You Like Roosevelt	music://id.echonest.com/~/TR/TRGIRIK121D1838D09
898	Memphis Minnie	Diggin' My Potatoes (feat.Little Son Joe)	Memphis Minnie - Diggin' My Potatoes (feat.Little Son Joe)	music://id.echonest.com/~/TR/TRXZWZA121F2EA1694
899	Memphis Minnie	Me And My Chauffeur Blues	Memphis Minnie - Me And My Chauffeur Blues	music://id.echonest.com/~/TR/TRRDZID121F2EA1693
900	Mike Dowling	Mean Old Frisco	Mike Dowling - Mean Old Frisco	music://id.echonest.com/~/TR/TRLFMLX121F153F9F5
901	Mike Dowling	Ragged And Dirty	Mike Dowling - Ragged And Dirty	music://id.echonest.com/~/TR/TRSXWMH121F153F9F4
902	Mississippi Fred McDowell	All The Way From East St. Louis	Mississippi Fred McDowell - All The Way From East St. Louis	music://id.echonest.com/~/TR/TRRAOAD121F24D22D2
903	Mississippi Fred McDowell	Black Minnie	Mississippi Fred McDowell - Black Minnie	music://id.echonest.com/~/TR/TRLOIQH121F24D22D1
904	Mississippi Fred McDowell	I Heard Somebody Call	Mississippi Fred McDowell - I Heard Somebody Call	music://id.echonest.com/~/TR/TRMJICA121F1EAA40E
905	Mississippi Fred McDowell	My Baby Done Me Wrong	Mississippi Fred McDowell - My Baby Done Me Wrong	music://id.echonest.com/~/TR/TRYEIWH121F24D22D2
906	Mississippi Fred McDowell	On The Frisco Line	Mississippi Fred McDowell - On The Frisco Line	music://id.echonest.com/~/TR/TRDSHLR121D21D488E
907	Mississippi Fred McDowell	You Ain't Gonna Worry My Life Anymore	Mississippi Fred McDowell - You Ain't Gonna Worry My Life Anymore	music://id.echonest.com/~/TR/TRNHHTS121F24D22D1
908	Mississippi John Hurt	Avalon, My Home Town (Live)	Mississippi John Hurt - Avalon, My Home Town (Live)	music://id.echonest.com/~/TR/TRJNJPN121F153F9DF
909	Mississippi John Hurt	Beulah Land	Mississippi John Hurt - Beulah Land	music://id.echonest.com/~/TR/TRVVGQJ121F153F9DE
910	Mississippi John Hurt	Casey Jones	Mississippi John Hurt - Casey Jones	music://id.echonest.com/~/TR/TRZKWDA121F1112C57
911	Mississippi John Hurt	Coffee Blues (Live)	Mississippi John Hurt - Coffee Blues (Live)	music://id.echonest.com/~/TR/TRIGXBH121F1112C56
912	Mississippi John Hurt	Frankie	Mississippi John Hurt - Frankie	music://id.echonest.com/~/TR/TRMGSAQ121F22AE91F
913	Mississippi John Hurt	I'm Satisfied	Mississippi John Hurt - I'm Satisfied	music://id.echonest.com/~/TR/TRTSOYQ121F1BA7045
914	Mississippi John Hurt	Lonesome Blues	Mississippi John Hurt - Lonesome Blues	music://id.echonest.com/~/TR/TRFZDMR121F22AE91E
915	Mississippi John Hurt	Monday Morning Blues	Mississippi John Hurt - Monday Morning Blues	music://id.echonest.com/~/TR/TRLHUTL121F22AE91D
916	Mississippi John Hurt	My Creole Belle	Mississippi John Hurt - My Creole Belle	music://id.echonest.com/~/TR/TRDPYCA121F1C9D5A6
917	Mississippi John Hurt	See See Rider	Mississippi John Hurt - See See Rider	music://id.echonest.com/~/TR/TRFJPJS121F1C9D5A5
918	Mississippi John Hurt	Spike Driver (John Henry)	Mississippi John Hurt - Spike Driver (John Henry)	music://id.echonest.com/~/TR/TRSHISZ121F1ABBAA7
919	Mississippi John Hurt	The Angels Laid Him Away	Mississippi John Hurt - The Angels Laid Him Away	music://id.echonest.com/~/TR/TRSKKRL121F153F9DB
920	Mose Andrews	Ten Pound Hammer	Mose Andrews - Ten Pound Hammer	music://id.echonest.com/~/TR/TRPUZOB121F1C91DFE
921	Muddy Waters	Canary Bird	Muddy Waters - Canary Bird	music://id.echonest.com/~/TR/TRUIAAF121F1533A47
922	Muddy Waters	Sad Letter Blues	Muddy Waters - Sad Letter Blues	music://id.echonest.com/~/TR/TRROFLU121F1533A45
923	Othar Turner	Roll And Tumble	Othar Turner - Roll And Tumble	music://id.echonest.com/~/TR/TRELDWW121D183BFC9
924	Pete Special	St. James Infirmary	Pete Special - St. James Infirmary	music://id.echonest.com/~/TR/TRYBUNR121EEE6B2CA
925	Pink Anderson	Boll Weevil	Pink Anderson - Boll Weevil	music://id.echonest.com/~/TR/TRFGWFY121EE46968D
926	Pink Anderson	Chicken	Pink Anderson - Chicken	music://id.echonest.com/~/TR/TRCABVU121EE46968C
927	Pink Anderson	Every Day In The Week	Pink Anderson - Every Day In The Week	music://id.echonest.com/~/TR/TRFLJXD121EE527D74
928	Pink Anderson	Greasy Greens	Pink Anderson - Greasy Greens	music://id.echonest.com/~/TR/TRYXDRA121EE527D73
929	Pink Anderson	I Got Mine	Pink Anderson - I Got Mine	music://id.echonest.com/~/TR/TRERSXM121EDDA53D2
930	Pink Anderson	I'm Going To Walk Through The Streets Of The City	Pink Anderson - I'm Going To Walk Through The Streets Of The City	music://id.echonest.com/~/TR/TRXWXTQ121D697F741
931	Pink Anderson	John Henry	Pink Anderson - John Henry	music://id.echonest.com/~/TR/TROFKSI121EDDA53D1
932	Pink Anderson	Mama Where Did You Stay Last Night	Pink Anderson - Mama Where Did You Stay Last Night	music://id.echonest.com/~/TR/TRKZFDU121EE84D039
933	Pink Anderson	That's No Way to Do	Pink Anderson - That's No Way to Do	music://id.echonest.com/~/TR/TRIJWQO121EE6F38DD
934	Ralph Stanley & The Clinch Mountain Boys	Man Of Constant Sorrow	Ralph Stanley & The Clinch Mountain Boys - Man Of Constant Sorrow	music://id.echonest.com/~/TR/TRNJLYW121ED9B81B0
935	Rev. Robert Wilkins	Holy Ghost Train	Rev. Robert Wilkins - Holy Ghost Train	music://id.echonest.com/~/TR/TRVSJVL121EC8F2A81
936	Rev. Robert Wilkins	Nashville Stonewall Blues	Rev. Robert Wilkins - Nashville Stonewall Blues	music://id.echonest.com/~/TR/TRVMRNX121EC8F2A80
937	Reverend Gary Davis	Cross And Evil Woman Blues	Reverend Gary Davis - Cross And Evil Woman Blues	music://id.echonest.com/~/TR/TRJYBHF121ED4222BF
938	Reverend Gary Davis	God's Gonna Separate	Reverend Gary Davis - God's Gonna Separate	music://id.echonest.com/~/TR/TRQIBSC121ED4CE0BF
939	Reverend Gary Davis	I'm So Tired Of Being All Alone (Sic)	Reverend Gary Davis - I'm So Tired Of Being All Alone (Sic)	music://id.echonest.com/~/TR/TRRCGNP121ED4CE0BE
940	Robert Johnson	I Believe I'll Dust My Broom	Robert Johnson - I Believe I'll Dust My Broom	music://id.echonest.com/~/TR/TRZOYAO121EC184125
941	Robert Johnson	Last Fair Deal Gone Down	Robert Johnson - Last Fair Deal Gone Down	music://id.echonest.com/~/TR/TRGNCBK121ECB3D139
942	Robert Johnson	Walkin' Blues	Robert Johnson - Walkin' Blues	music://id.echonest.com/~/TR/TREHTZW121EC8848AD
943	Skip James	22-20 Blues	Skip James - 22-20 Blues	music://id.echonest.com/~/TR/TRHVEKD121D44FEF8A
944	Skip James	Cherry Ball Blues	Skip James - Cherry Ball Blues	music://id.echonest.com/~/TR/TRDRXWG121EA82F32B
945	Skip James	Crow Jane	Skip James - Crow Jane	music://id.echonest.com/~/TR/TRTKHBS121EA82F32A
946	Skip James	Devil Got My Woman - 1931	Skip James - Devil Got My Woman - 1931	music://id.echonest.com/~/TR/TROMVXZ121EA6568A6
947	Skip James	Special Rider Blues	Skip James - Special Rider Blues	music://id.echonest.com/~/TR/TRHTWHJ121EA63D26E
948	Sleepy John Estes	Fire Department Blues	Sleepy John Estes - Fire Department Blues	music://id.echonest.com/~/TR/TRPNQLM121D1838D0C
949	Sleepy John Estes	I'll Work Up To You Someday	Sleepy John Estes - I'll Work Up To You Someday	music://id.echonest.com/~/TR/TRURGTJ121EA82F323
950	Snooks Eaglin	I Got My Questionnaire	Snooks Eaglin - I Got My Questionnaire	music://id.echonest.com/~/TR/TRZTEQV121EA68A4BF
951	Snooks Eaglin	Let Me Go Home, Whiskey	Snooks Eaglin - Let Me Go Home, Whiskey	music://id.echonest.com/~/TR/TRKALYA121EA68A4BE
952	Snooks Eaglin	Mama, Don't Tear My Clothes	Snooks Eaglin - Mama, Don't Tear My Clothes	music://id.echonest.com/~/TR/TRHYYWB121EA1139EA
953	Snooks Eaglin	One Scotch, One Bourbon, One Beer	Snooks Eaglin - One Scotch, One Bourbon, One Beer	music://id.echonest.com/~/TR/TRHCPMQ121EA1139E9
954	Snooks Eaglin	Rock Island Line	Snooks Eaglin - Rock Island Line	music://id.echonest.com/~/TR/TRETXTW121EA63D264
955	Snooks Eaglin	Saint James Infirmary	Snooks Eaglin - Saint James Infirmary	music://id.echonest.com/~/TR/TRUOFMP121EA63D263
956	Son House	Grinnin' In Your Face	Son House - Grinnin' In Your Face	music://id.echonest.com/~/TR/TRYRMZA121EA3DF6F9
957	Son House	Walkin' Blues	Son House - Walkin' Blues	music://id.echonest.com/~/TR/TRWMQUD121EA4E2B65
958	Sonny Boy Nelson	Pony Blues	Sonny Boy Nelson - Pony Blues	music://id.echonest.com/~/TR/TRXVSEM121D177DCD1
959	Steady Rollin' Bob Margolin	Brown Liquor	Steady Rollin' Bob Margolin - Brown Liquor	music://id.echonest.com/~/TR/TRSTVLB121E9A77B82
960	Stefan Grossman	C.C. Rider	Stefan Grossman - C.C. Rider	music://id.echonest.com/~/TR/TRUDPIO121E97EAA4A
961	Stefan Grossman	Death Come Creeping	Stefan Grossman - Death Come Creeping	music://id.echonest.com/~/TR/TRKBEFL121E8F5D70C
962	Steve Earle	CCKMP	Steve Earle - CCKMP	music://id.echonest.com/~/TR/TRDDCPU121E8F5B7B9
963	Steve James	Hadacol Boogie	Steve James - Hadacol Boogie	music://id.echonest.com/~/TR/TRPVKAJ121E8501584
964	Tommy Johnson	Big Fat Mama Blues	Tommy Johnson - Big Fat Mama Blues	music://id.echonest.com/~/TR/TRXFGFJ121E0B43532
965	Tommy Johnson	Cool Drink Of Water Blues	Tommy Johnson - Cool Drink Of Water Blues	music://id.echonest.com/~/TR/TRUCRTO121D1394D33
966	Virgil Childers	Dago Blues	Virgil Childers - Dago Blues	music://id.echonest.com/~/TR/TRZVSVI121D940FB1E
967	William Harris	Hot Time Blues	William Harris - Hot Time Blues	music://id.echonest.com/~/TR/TRIBOVW121D1916415
968	Arthur Petties	Two Time Blues	Arthur Petties - Two Time Blues	music://id.echonest.com/~/TR/TRHIOBZ121DAF7D2DA
969	Backwards Sam Firk	Old Country Rock	Backwards Sam Firk - Old Country Rock	music://id.echonest.com/~/TR/TRPILHT121DF11819E
971	Big Bill Broonzy	Just A Dream (On My Mind)	Big Bill Broonzy - Just A Dream (On My Mind)	music://id.echonest.com/~/TR/TRHIIMQ121E07FBF71
972	Big Bill Broonzy	What I Used To Do	Big Bill Broonzy - What I Used To Do	music://id.echonest.com/~/TR/TRWVDEM121E0759DB1
973	Big Bill Broonzy	Willie Mae Blues	Big Bill Broonzy - Willie Mae Blues	music://id.echonest.com/~/TR/TRROARE121E0759DB2
974	Blind Boy Fuller	Big Bed Blues	Blind Boy Fuller - Big Bed Blues	music://id.echonest.com/~/TR/TRLYDRO121E07FBFA9
975	Blind Boy Fuller	Rag Mama Rag  (Take 2)	Blind Boy Fuller - Rag Mama Rag  (Take 2)	music://id.echonest.com/~/TR/TRZORMX121E0FD53E0
976	Blind Boy Fuller	Walking And Looking Blues	Blind Boy Fuller - Walking And Looking Blues	music://id.echonest.com/~/TR/TRVTWEI121E02DDEB0
977	Blind Boy Fuller	Walking My Troubles Away	Blind Boy Fuller - Walking My Troubles Away	music://id.echonest.com/~/TR/TRBZPHP121E0759DCD
979	Blind Willie McTell	Searching the Desert for the Blues	Blind Willie McTell - Searching the Desert for the Blues	music://id.echonest.com/~/TR/TRNRMMD121E10ED845
980	Blind Willie McTell	You Got To Die	Blind Willie McTell - You Got To Die	music://id.echonest.com/~/TR/TRZHCDK121E13645FA
981	Buddy Boy Hawkins	Snatch It Back Blues	Buddy Boy Hawkins - Snatch It Back Blues	music://id.echonest.com/~/TR/TRGQLIE121E2B7B9D3
982	Chris Smither	Glory Of Love	Chris Smither - Glory Of Love	music://id.echonest.com/~/TR/TRDAXLU121E6353FF3
983	Chris Smither	Maybelline	Chris Smither - Maybelline	music://id.echonest.com/~/TR/TRGAANZ121D1EDEB7E
984	Doc Watson	Spike Driver Blues	Doc Watson - Spike Driver Blues	music://id.echonest.com/~/TR/TRKLTUK121E9C7FBE5
985	Frank Stokes	Mistreatin' Blues	Frank Stokes - Mistreatin' Blues	music://id.echonest.com/~/TR/TRBIPUI121D194231D
986	Furry Lewis	Baby You Don't Want Me	Furry Lewis - Baby You Don't Want Me	music://id.echonest.com/~/TR/TRIKMEB121EC65288E
987	Furry Lewis	Big Chief Blues	Furry Lewis - Big Chief Blues	music://id.echonest.com/~/TR/TRCKMZE121EC65288F
988	Furry Lewis	Falling Down Blues	Furry Lewis - Falling Down Blues	music://id.echonest.com/~/TR/TRNPOMZ121ECED0D7D
990	Greg Brown	Waiting (Live)	Greg Brown - Waiting (Live)	music://id.echonest.com/~/TR/TRJYZJT121EE29237B
991	Henry Spaulding	Cairo Blues	Henry Spaulding - Cairo Blues	music://id.echonest.com/~/TR/TRNKQDL121EEF97B7A
992	Jackson C. Frank	Here Come The Blues	Jackson C. Frank - Here Come The Blues	music://id.echonest.com/~/TR/TRWBFRH121F03DD2A6
993	Jelly Jaw Short	Barefoot Blues	Jelly Jaw Short - Barefoot Blues	music://id.echonest.com/~/TR/TRUMMDA121F0E77084
994	Jim Jackson	Bye, Bye, Policeman	Jim Jackson - Bye, Bye, Policeman	music://id.echonest.com/~/TR/TRLKQIH121F09B5074
995	Josh White	Bonbons, Chocolate, And Chewing Gum	Josh White - Bonbons, Chocolate, And Chewing Gum	music://id.echonest.com/~/TR/TRFQGUS121F2631038
996	Josh White	Jesus Gonna Make Up My Dying Bed	Josh White - Jesus Gonna Make Up My Dying Bed	music://id.echonest.com/~/TR/TRAECLZ121F26133A6
997	Josh White	New Milk Cow Blues	Josh White - New Milk Cow Blues	music://id.echonest.com/~/TR/TRYHRSG121F26133A7
998	Josh White	One For My Baby	Josh White - One For My Baby	music://id.echonest.com/~/TR/TRXKWEJ121F28A2413
999	Josh White	Trouble	Josh White - Trouble	music://id.echonest.com/~/TR/TRFWORZ121F28A2414
1000	Kelly Joe Phelps	Footprints	Kelly Joe Phelps - Footprints	music://id.echonest.com/~/TR/TRBQYWH121D45DD23B
1001	Kid Bailey	Mississippi Blues	Kid Bailey - Mississippi Blues	music://id.echonest.com/~/TR/TREVGMP121F3AED9A0
1002	Lead Belly & Woody Guthrie	Do-Re-Mi	Lead Belly & Woody Guthrie - Do-Re-Mi	music://id.echonest.com/~/TR/TRZWIJG121F4735E37
1003	Lead Belly & Woody Guthrie	Gallis Polse	Lead Belly & Woody Guthrie - Gallis Polse	music://id.echonest.com/~/TR/TRVNKFR121F4735E38
1004	Leadbelly	Backwater Blues	Leadbelly - Backwater Blues	music://id.echonest.com/~/TR/TRJKAXR121D679A589
1005	Leadbelly	Jail House Blues	Leadbelly - Jail House Blues	music://id.echonest.com/~/TR/TRSLXJI121F4735E3A
1008	Leadbelly	The Grey Goose	Leadbelly - The Grey Goose	music://id.echonest.com/~/TR/TRWTNJN121F43EBD98
1009	Lightnin' Hopkins	I Can't Stay Here In Yourtown	Lightnin' Hopkins - I Can't Stay Here In Yourtown	music://id.echonest.com/~/TR/TRVOJXX121F5392AEA
1012	Memphis Jug Band	Feather Bed	Memphis Jug Band - Feather Bed	music://id.echonest.com/~/TR/TRCADFE121F2EA1695
1013	Memphis Minnie	My Gage Is Going Up	Memphis Minnie - My Gage Is Going Up	music://id.echonest.com/~/TR/TRBNPBT121F30B69CE
1014	Mississippi Fred McDowell	Drop Down Mama	Mississippi Fred McDowell - Drop Down Mama	music://id.echonest.com/~/TR/TRUAGEE121F1EAA40F
1015	Mississippi John Hurt	Cow Hooking Blues	Mississippi John Hurt - Cow Hooking Blues	music://id.echonest.com/~/TR/TRQCCUX121D4748AA4
1016	Mississippi John Hurt	Frankie No. 2	Mississippi John Hurt - Frankie No. 2	music://id.echonest.com/~/TR/TRGSBLC121F22AE920
1017	Mississippi John Hurt	Since I've Laid This Burden Down	Mississippi John Hurt - Since I've Laid This Burden Down	music://id.echonest.com/~/TR/TRFWEFN121F1C374D9
1019	Pink Anderson	Meet Me In The Bottom	Pink Anderson - Meet Me In The Bottom	music://id.echonest.com/~/TR/TREZEUE121EE84D038
1020	Pink Anderson	Thousand Woman Blues	Pink Anderson - Thousand Woman Blues	music://id.echonest.com/~/TR/TRQJMKT121EE6F38DC
1021	Ramblin' Jack Elliott	I Got A Woman	Ramblin' Jack Elliott - I Got A Woman	music://id.echonest.com/~/TR/TRGWQPJ121EC8F2A9D
1022	Reverend Gary Davis	Don't Know Where To Go (Sic)	Reverend Gary Davis - Don't Know Where To Go (Sic)	music://id.echonest.com/~/TR/TROKTUR121ED4222BE
1023	Robert Johnson	Traveling Riverside Blues	Robert Johnson - Traveling Riverside Blues	music://id.echonest.com/~/TR/TRVPYGH121ECB3D138
1024	Robert Pete Williams	Freight Train Blues	Robert Pete Williams - Freight Train Blues	music://id.echonest.com/~/TR/TRRKMLZ121ECC43092
1025	Robert Pete Williams	Goodbye Slim Harpo	Robert Pete Williams - Goodbye Slim Harpo	music://id.echonest.com/~/TR/TRFLKBX121EC184122
1026	Skip James	All Night Long (Live)	Skip James - All Night Long (Live)	music://id.echonest.com/~/TR/TRBXNSD121EA82F32C
